sampleID,year,date,location,site,river,otoSr.ppm,age.d,bodysize.mm,otoradius.um
11MR127,2011,5/9/2011,Maumee,wriver,Maumee River,610.2925,1,6.01,
11MR128,2011,5/9/2011,Maumee,wriver,Maumee River,415.2733333,1,7.84,
11MR129,2011,5/9/2011,Maumee,wriver,Maumee River,602.8066667,2,7.59,
11MR133,2011,5/9/2011,Maumee,wriver,Maumee River,545.8366667,2,7.76,
11MR135,2011,5/10/2011,Maumee,wriver,Maumee River,571.8233333,3,7.12,
11MR137,2011,5/10/2011,Maumee,wriver,Maumee River,841.91,3,7.76,
11MR192,2011,4/26/2011,Maumee,wriver,Maumee River,416.08,1,6.55,
11MR267,2011,5/10/2011,Maumee,wriver,Maumee River,432.6,4,7.47,
11MR268,2011,5/10/2011,Maumee,wriver,Maumee River,507.7466667,1,6.99,
11MR384,2011,5/12/2011,Maumee,wriver,Maumee River,521.7133333,2,7.01,
11MR385,2011,5/12/2011,Maumee,wriver,Maumee River,803.86,4,8.76,
11MR387,2011,5/12/2011,Maumee,wriver,Maumee River,813.4866667,8,8.26,
11MR408,2011,5/19/2011,Maumee,wriver,Maumee River,793.4333333,15,9.23,
11MR410,2011,5/19/2011,Maumee,wriver,Maumee River,732.3033333,16,10.67,
11MR425,2011,5/16/2011,Maumee,wriver,Maumee River,954.63,6,8.1,
11MR427,2011,5/16/2011,Maumee,wriver,Maumee River,720.3466667,2,6.79,
11MR428,2011,5/16/2011,Maumee,wriver,Maumee River,671.3233333,1,7.71,
11SR9,2011,5/2/2011,Sandusky,wriver,Sandusky River,1098.1,8,4.64,
11SR10,2011,5/2/2011,Sandusky,wriver,Sandusky River,928.31,6,7.96,
11SR12,2011,5/2/2013,Sandusky,wriver,Sandusky River,1029.673333,6,8.07,
11SR13,2011,5/6/2013,Sandusky,wriver,Sandusky River,909.61,3,7.06,
11SR15,2011,5/6/2013,Sandusky,wriver,Sandusky River,710.455,4,4.43,
11SR16,2011,5/6/2013,Sandusky,wriver,Sandusky River,1166.046667,5,7.63,
11SR17,2011,5/6/2013,Sandusky,wriver,Sandusky River,830.2733333,3,7.02,
12MR251,2012,4/20/2012,Maumee,wriver,Maumee River,1092.353333,13,8.67,
12MR252,2012,4/20/2012,Maumee,wriver,Maumee River,1128.32,15,9.94,
12MR254,2012,4/26/2012,Maumee,wriver,Maumee River,1036.273333,19,13.81,
12MR257,2012,4/26/2012,Maumee,wriver,Maumee River,1294.833333,13,9.59,
12MR262,2012,4/20/2012,Maumee,wriver,Maumee River,1244.93,11,9.3,
12MR264,2012,4/20/2012,Maumee,wriver,Maumee River,1017.386667,12,9.38,
12MR265,2012,4/20/2012,Maumee,wriver,Maumee River,1092.45,10,8.38,
12MR268,2012,4/30/2012,Maumee,wriver,Maumee River,1053.686667,16,9.9,
12MR271,2012,4/30/2012,Maumee,wriver,Maumee River,1073.67,21,10.31,
12MR272,2012,4/30/2012,Maumee,wriver,Maumee River,1052.846667,20,10.25,
12MR277,2012,4/9/2012,Maumee,wriver,Maumee River,586.35,1,6.14,
12MR301,2012,4/6/2012,Maumee,wriver,Maumee River,840.7866667,12,9.61,
12MR302,2012,4/6/2012,Maumee,wriver,Maumee River,1096.903333,13,9.59,
12MR305,2012,4/6/2012,Maumee,wriver,Maumee River,776.7666667,8,8.24,
12MR361,2012,3/26/2012,Maumee,wriver,Maumee River,849.47,5,8.7,
12MR362,2012,3/26/2012,Maumee,wriver,Maumee River,830.8966667,4,8.2,
12MR363,2012,3/26/2012,Maumee,wriver,Maumee River,686.9466667,4,8.1,
12MR381,2012,3/26/2012,Maumee,wriver,Maumee River,600.71,3,7.3,
12MR382,2012,3/26/2012,Maumee,wriver,Maumee River,624.81,4,7,
12W01,2012,4/4/2012,Sandusky,wriver,Sandusky River,1641.286667,10,9.79,
12W03,2012,4/6/2012,Sandusky,wriver,Sandusky River,1885.573333,6,9.32,
12W04,2012,4/6/2012,Sandusky,wriver,Sandusky River,1949.866667,9,9.27,
12W07,2012,4/6/2012,Sandusky,wriver,Sandusky River,1785.446667,13,8.99,
12W14,2012,4/4/2012,Sandusky,wriver,Sandusky River,2182.9,8,8.13,
12W22,2012,4/9/2012,Sandusky,wriver,Sandusky River,2032.273333,10,9.3,
12W23,2012,4/9/2012,Sandusky,wriver,Sandusky River,1992.076667,9,9.51,
12W33,2012,4/13/2012,Sandusky,wriver,Sandusky River,2300.786667,10,10.72,
12W36,2012,4/13/2012,Sandusky,wriver,Sandusky River,2394.506667,17,10.13,
12W37,2012,4/13/2012,Sandusky,wriver,Sandusky River,2232.8,14,9.91,
12W40,2012,4/13/2012,Sandusky,wriver,Sandusky River,2344.023333,12,9.38,
12W41,2012,4/13/2012,Sandusky,wriver,Sandusky River,1971.24,14,10,
12W201,2012,4/13/2012,Sandusky,wriver,Sandusky River,2295.073333,14,6.77,
12W202,2012,4/13/2012,Sandusky,wriver,Sandusky River,2406.88,16,6.51,
12W203,2012,4/13/2012,Sandusky,wriver,Sandusky River,2263.796667,15,6.81,
12W205,2012,4/13/2012,Sandusky,wriver,Sandusky River,2305.37,8,6.39,
12W206,2012,4/13/2012,Sandusky,wriver,Sandusky River,2433.453333,10,6.41,
12W208,2012,4/13/2012,Sandusky,wriver,Sandusky River,2347.32,11,6.29,
12W209,2012,4/13/2012,Sandusky,wriver,Sandusky River,2518.82,9,6.29,
13SR05,2013,4/23/2013,Sandusky,wriver,Sandusky River,1478.806667,5,7.92,
13SR06,2013,4/23/2013,Sandusky,wriver,Sandusky River,1097.49,4,7.62,
13SR07,2013,4/23/2013,Sandusky,wriver,Sandusky River,1210.236667,4,8.01,
13SR08,2013,4/23/2013,Sandusky,wriver,Sandusky River,1078.095,2,6.51,
13SR09,2013,4/23/2013,Sandusky,wriver,Sandusky River,1018.356667,3,7.87,
13SR10,2013,,Sandusky,wriver,Sandusky River,1280.045,3,,
13SR13,2013,,Sandusky,wriver,Sandusky River,1019.65,2,,
13SR14,2013,,Sandusky,wriver,Sandusky River,1030.955,3,,
13SR22,2013,,Sandusky,wriver,Sandusky River,1588.035,3,,
13SR23,2013,,Sandusky,wriver,Sandusky River,1149.865,5,,
13SR24,2013,,Sandusky,wriver,Sandusky River,934.72,4,,
13SR25,2013,,Sandusky,wriver,Sandusky River,1371.22,5,,
13SR26,2013,,Sandusky,wriver,Sandusky River,964.345,2,,
13SR27,2013,,Sandusky,wriver,Sandusky River,945.04,3,,
13SR28,2013,,Sandusky,wriver,Sandusky River,1452.467,10,,
13SR30,2013,,Sandusky,wriver,Sandusky River,2005.847,20,,
13SR31,2013,,Sandusky,wriver,Sandusky River,2095.573,18,,
13SR32,2013,,Sandusky,wriver,Sandusky River,2101.08,17,,
13SR33,2013,,Sandusky,wriver,Sandusky River,1867.24,21,,
13SR39,2013,,Sandusky,wriver,Sandusky River,2223.91,19,,
13SR40,2013,,Sandusky,wriver,Sandusky River,2074.11,12,,
13SR41,2013,,Sandusky,wriver,Sandusky River,2038.317,23,,
13SR42,2013,,Sandusky,wriver,Sandusky River,2438.24,22,,
13MR01,2013,,Maumee,wriver,Maumee River,667.14,1,,
13MR02,2013,,Maumee,wriver,Maumee River,892.42,1,,
13MR03,2013,,Maumee,wriver,Maumee River,674.92,1,,
13MR04,2013,,Maumee,wriver,Maumee River,756.2,1,,
13MR05,2013,,Maumee,wriver,Maumee River,561.48,1,,
13MR11,2013,,Maumee,wriver,Maumee River,470.66,1,,
13MR12,2013,,Maumee,wriver,Maumee River,611.54,1,,
13MR13,2013,,Maumee,wriver,Maumee River,537.04,1,,
