year,date,location,site,Ca (ppm),Sr (ppb),Sr:Ca
2013,26-Mar,Detroit River 68,Detroit River,30.09,127.66,4.242605517
2013,2-Apr,Detroit River 68,Detroit River,28.4,120.74,4.251408451
2013,8-Apr,Detroit River 68,Detroit River,28.55,125.42,4.392994746
2013,17-Apr,Detroit River 68,Detroit River,28.41,130.38,4.589229145
2013,30-Apr,Detroit River 68,Detroit River,31.7,142.72,4.502208202
2013,6-May,Detroit River 68,Detroit River,28.13,130.66,4.644863135
2013,13-May,Detroit River 68,Detroit River,26.92,116.9,4.342496285
2013,20-May,Detroit River 68,Detroit River,28.88,123.92,4.290858726
2013,28-May,Detroit River 68,Detroit River,28.12,119.46,4.248221906
2013,3-Jun,Detroit River 68,Detroit River,26.29,109.62,4.169646253
2013,12-Jun,Detroit River 68,Detroit River,26.77,122.2,4.564811356
2013,26-Mar,Maumee River up,Maumee River,74.87,772.6,10.31921998
2013,26-Mar,Maumee River low,Maumee River,68.96,569.2,8.254060325
2013,1-Apr,Maumee River up,Maumee River,78.79,992.4,12.59550704
2013,1-Apr,Maumee River low,Maumee River,79.77,859.2,10.77096653
2013,17-Apr,Maumee River up,Maumee River,44.66,349,7.814599194
2013,17-Apr,Maumee River low,Maumee River,44.49,366.8,8.244549337
2013,24-Apr,Maumee River up,Maumee River,47.44,325.6,6.863406408
2013,24-Apr,Maumee River low,Maumee River,44.8,279,6.227678571
2013,1-May,Maumee River up,Maumee River,59.63,441.6,7.405668288
2013,1-May,Maumee River low,Maumee River,58.44,414.6,7.094455852
2013,10-May,Maumee River up,Maumee River,61.33,591.2,9.639654329
2013,10-May,Maumee River low,Maumee River,64.51,598,9.269880639
2013,16-May,Maumee River up,Maumee River,57.31,649.4,11.33135578
2013,16-May,Maumee River low,Maumee River,58.38,565.4,9.68482357
2013,20-May,Maumee River up,Maumee River,60.53,738.6,12.20221378
2013,20-May,Maumee River low,Maumee River,56.27,600.6,10.6735383
2013,30-May,Maumee River mouth,Maumee River,57.93,696.4,12.02140514
2013,15-Apr,Sandusky River,Sandusky River,34.81,422.2,12.12869865
2013,23-Apr,Sandusky River,Sandusky River,60.23,1046.8,17.38004317
2013,29-Apr,Sandusky River,Sandusky River,55.98,962.6,17.19542694
2013,1-May,Sandusky River,Sandusky River,63.8,1144,17.93103448
2013,7-May,Sandusky River,Sandusky River,69.21,1373,19.83817367
2013,10-May,Sandusky River,Sandusky River,73.16,1656,22.63531985
2013,13-May,Sandusky River,Sandusky River,75.61,2038,26.9541066
2013,16-May,Sandusky River,Sandusky River,78.57,2320,29.5278096
2013,23-May,Sandusky River,Sandusky River,77.18,2430,31.48484063
2013,28-Mar,Lake Erie R02,Ohio reefs,30.92,121.52,3.930142303
2013,28-Mar,Lake Erie R05,Ohio reefs,31.18,162.58,5.214239897
2013,28-Mar,Lake Erie R24,Ohio reefs,37.57,226,6.015437849
2013,3-Apr,Lake Erie R02,Ohio reefs,32.61,172.98,5.30450782
2013,3-Apr,Lake Erie R05,Ohio reefs,29.89,160.74,5.3777183
2013,3-Apr,Lake Erie R24,Ohio reefs,29.47,125.18,4.247709535
2013,10-Apr,Lake Erie R02,Ohio reefs,33.75,178.86,5.299555556
2013,10-Apr,Lake Erie R05,Ohio reefs,34.94,199.94,5.722381225
2013,10-Apr,Lake Erie R20,Ohio reefs,32.81,183.82,5.602560195
2013,14-Apr,Lake Erie R02,Ohio reefs,32.69,166.54,5.094524319
2013,14-Apr,Lake Erie R05,Ohio reefs,36.65,234.2,6.390177353
