year,site,N,Sr.Ca,sd,se,ci
1993,Maumee River,1,6.38889,NA,NA,NA
1993,Sandusky River,1,10.2381,NA,NA,NA
1994,Maumee River,1,8.5185,NA,NA,NA
1994,Sandusky River,1,20.2532,NA,NA,NA
1995,Maumee River,1,7.58065,NA,NA,NA
1995,Sandusky River,NA,NA,NA,NA,NA
2001,Maumee River,6,10.6883582633333,0.272587865689018,0.111283530168735,0.286063421257236
2001,Sandusky River,4,22.730953815,0.144535359665185,0.0722676798325924,0.22998801067466
2011,Maumee River,6,8.270259003,0.907224567628238,0.370372878801045,0.952073794658297
2011,Sandusky River,6,16.73135856,2.18776806182259,0.893152571170513,2.29592177590279
2012,Maumee River,8,9.579125,2.38127987420331,0.841909573476103,1.99079979508973
2012,Sandusky River,4,27.06925,6.03015347372409,3.01507673686204,9.59531982137347
2013,Maumee River,17,9.43605782723529,2.00152959363228,0.485442231020321,1.02909155800577
2013,Sandusky River,9,21.6750503988889,6.45878355132994,2.15292785044331,4.9646605259185
